"","PROVINCIA","Ubigeo","habitantes","IDH","esperanza","secundaria","educa","percapitaf","IDE","identidad","salud","educacion","saneamiento","electrificacion","poblacion","costa","capital","tamano","fecundidad","desnutricion","densidadpob","mortalidadinf","analfabetismo","analfabetismo_urb","analfabetismo_rural","analfabetismo_h","analfabetismo_m","pob","pob_ur","pob_rural","pob_h","pob_m","Voto_PPK","Voto_FP"
"130","OTUZCO","130600",88817,0.223930857634931,72.74,30.0936259620909,4.57912310039227,178.344360114045,0.5877,97.0273,11.9985,59.9136,61.6578,55.241,92237,"NO","NO",2,"3.32","45.156359",42.08,19.6,15.64,9.73,17.68,7.97,23.36,88817,21179,67638,44769,44048,14794,30304
"131","OXAPAMPA","190300",81929,0.273068187010693,71.64,37.5627425484529,6.78423441660141,212.823538702762,0.5744,94.7617,12.5667,65.4202,42.7355,63.3166,89543,"NO","NO",2,"3.28","40.506873",4.39,23.2,10.14,4.68,13.9,6.48,14.41,81929,30805,51124,43328,38601,10564,26409
"132","OYON","150900",20642,0.338764031284679,71.89,57.4860305808224,8.34920290420872,273.148914744005,0.7104,99.0082,9.4051,77.9139,77.8538,84.76,22217,"NO","NO",1,"4.58","24.277411",10.94,22.4,7.18,6.67,8,1.89,13.23,20642,13308,7334,10831,9811,2816,6051
"133","PACASMAYO","130700",94377,0.397975560637065,75.63,64.0517272994355,8.86072508772622,361.27481662978,0.7841,99.301,15.9519,93.8715,82.1331,90.1695,101954,"SI","NO",3,"2.33","15.377904",83.77,11.4,5.99,5.44,13.46,3.42,8.46,94377,87718,6659,46661,47716,21760,36775
"134","PACHITEA","100800",60321,0.159797002783288,70.27,15.6629307285587,3.05266986184182,148.410407636068,0.4821,94.7089,8.922,52.4708,35.9075,43.0686,69003,"NO","NO",2,"2.8","43.955331",22.94,27.8,31.95,16.29,34.89,20.35,43.84,60321,8629,51692,30454,29867,10361,11740
"135","PADRE ABAD","250300",50590,0.308483407106506,74.98,43.4312812268759,6.81540708351943,256.797734565221,0.5023,97.3087,4.4984,73.2013,13.243,59.8946,56756,"NO","NO",2,"3.04","33.732956",5.73,13.2,7.85,4.88,11.38,4.55,12.25,50590,26722,23868,27999,22591,9490,15089
"136","PAITA","200500",108535,0.386221670782376,73.54,58.7951699949772,7.78661079663957,387.582823659493,0.7154,99.2638,6.7769,85.3579,76.5216,85.2715,122725,"SI","NO",3,"2.74","15.968354",60.8,17.2,5.51,5.16,12.85,3.96,7.06,108535,103615,4920,54581,53954,25790,41585
"137","PALLASCA","021500",29454,0.242893298492255,67.68,40.3794922448267,5.80506237645671,182.146340039608,0.6122,94.5362,9.7786,75.6362,44.66,74.9557,30536,"NO","NO",1,"3.53","43.79887",14.02,37.6,14.47,12.56,16.68,6.01,23.08,29454,15229,14225,14886,14568,6354,3996
"138","PALPA","110400",12875,0.392866036745023,76.15,70.2637221597755,8.90526695778748,330.695277880327,0.775,99.3064,18.157,85.4934,91.1803,81.2415,12621,"NO","NO",1,"2.47","10.049524",10.44,10.3,5.78,4.91,7.42,3.22,8.47,12875,8489,4386,6602,6273,4015,5449
"139","PARINACOCHAS","050700",30007,0.273954175651158,66.29,50.2020173619127,6.64471031756849,212.953586257554,0.6471,99.4064,13.4073,83.9144,43.3083,74.5507,32023,"NO","NO",1,"2.68","41.820746",5.03,43.4,17.28,10.25,26.92,9.02,25.6,30007,17340,12667,15122,14885,5091,5310
"140","PARURO","081000",30939,0.178090223671866,67.7,31.4112745539803,4.23080653510847,119.369744167719,0.5573,97.6097,4.8544,74.8891,41.1514,56.9302,31521,"NO","NO",1,"4.5","60.453242",15.59,37.5,27.83,21.65,31.35,13.9,41.83,30939,10575,20364,15760,15179,9117,4363
"141","PASCO","190100",150717,0.346992973189151,72.8,71.6275269555395,9.06947203978705,248.478959037521,0.7169,99.5,10.7282,94.3146,58.5859,88.1771,156259,"NO","SI",3,"2.35","38.862711",31.67,19.4,6.2,4.83,10.66,2.67,9.87,150717,114821,35896,76788,73929,42498,29741
"142","PATAZ","130800",78383,0.217107548672632,70.01,26.7564587177135,5.3749813312316,164.56177795071,0.6038,95.7538,11.8223,61.6108,58.1123,66.7366,85687,"NO","NO",2,"4.57","58.558247",18.55,28.8,20.03,8.78,24.47,10.82,30.97,78383,20462,57921,41638,36745,9708,18759
"143","PAUCAR DEL SARA SARA","050800",11012,0.2899836031306,72.92,56.0019510695035,6.87023092661481,203.306315738747,0.7159,98.665,14.4225,93.9172,54.0318,87.283,11028,"NO","NO",1,"3.1","41.873934",5.25,19,14.48,10.87,21.6,6.62,22.65,11012,7396,3616,5583,5429,2070,2130
"144","PAUCARTAMBO","081100",45877,0.160733118302321,67.15,22.0897457760138,3.65878200561828,120.688253188155,0.5599,96.7844,6.1349,59.7834,46.3203,66.8591,50323,"NO","NO",2,"5.27","59.347618",7.29,39.8,33.08,15.84,37.42,18.19,48.08,45877,8511,37366,23105,22772,12451,7335
"145","PICOTA","220700",37721,0.287028150455552,72.34,37.5536635826956,6.55316567587498,243.372277359501,0.6884,96.1658,7.8023,82.3184,73.9773,78.7176,42369,"NO","NO",1,"2.84","24.531336",17.37,20.9,6.8,4.28,11.39,4.07,9.98,37721,23482,14239,20001,17720,9036,13153
"146","PISCO","110500",125879,0.404780348406311,75.31,69.7947045933037,9.61680576486964,349.550508416717,0.7092,99.2571,13.8738,84.8986,70.459,76.8762,132986,"SI","NO",3,"2.37","11.6158",31.64,12.3,3.27,2.78,6.75,1.64,4.95,125879,110308,15571,64083,61796,35037,50013
"147","PIURA","200100",665991,0.389075363320965,72.92,62.8943236824941,8.81006492251657,361.234574623121,0.7426,98.5621,15.3145,89.086,77.9517,80.1926,734437,"NO","SI",4,"2.45","20.585733",107.22,19,7.43,5.97,17.14,4.35,10.33,665991,573139,92852,327852,338139,140940,206840
"148","POMABAMBA","021600",27954,0.234069844003064,73.43,30.0410742035407,4.71971974434131,192.581765486417,0.5789,96.6389,14.5264,63.921,49.764,54.9378,29196,"NO","NO",1,"3.72","50.016149",30.58,17.5,32.97,11.33,39.95,19.29,45.16,27954,6142,21812,13502,14452,6251,4549
"149","PUERTO INCA","100900",31032,0.234568716581752,72.13,20.2295373735374,5.40564561803047,213.706638609586,0.4807,90.0761,13.7197,68.0194,25.5408,33.8304,32060,"NO","NO",1,"2.75","43.800286",3.13,21.6,9.72,5.38,10.87,5.49,15.24,31032,6169,24863,17013,14019,4037,9206
"150","PUNO","210100",229236,0.345362246464462,67.92,73.9729717058929,8.8191994631141,269.745291404476,0.7483,98.9834,18.5388,93.596,64.1132,86.5741,244692,"SI","SI",3,"2.36","15.621076",35.3,36.6,10.3,4.33,19.32,4.29,15.94,229236,136754,92482,113121,116115,78912,44900
"151","PURUS","250400",3746,0.242792431228478,69.33,18.5430807137155,6.95880027100271,218.973277542861,0.4473,91.9667,15.9542,51.3878,0.2351,53.4704,4251,"NO","NO",1,"2.84","66.606504",0.21,31.3,19.33,7.15,26.55,9.53,31.05,3746,1251,2495,2011,1735,280,938
"152","QUISPICANCHI","081200",82173,0.224805866054496,67.32,39.9351283645244,5.04863546556903,166.359525976967,0.618,97.6088,4.9016,74.7613,52.6529,75.8022,88967,"NO","NO",2,"4.68","56.784395",10.86,39.1,22.93,11.05,30.35,9.73,36.11,82173,28911,53262,41442,40731,24211,16555
"153","RECUAY","021700",19102,0.297700502628185,70.61,54.3227736946754,6.94181253547314,227.904291729435,0.711,97.7199,10.2591,90.2889,73.4154,76.9919,19509,"NO","NO",1,"2.67","33.766586",8.29,26.6,11.3,9.54,13.69,3.81,18.23,19102,10860,8242,9320,9782,6329,5110
"154","REQUENA","160500",65692,0.262124072088266,69.41,35.5916058091704,6.94598624436893,202.010658884607,0.5378,92.4981,4.9098,64.907,27.0976,76.2223,72706,"NO","NO",2,"3.53","30.896181",1.33,31,4.3,3.05,6.12,2.4,6.46,65692,37559,28133,34416,31276,9227,15472
"155","RIOJA","220800",104882,0.285143392064208,73.94,39.7783112465526,6.47231321405666,228.664121931491,0.6672,95.4084,10.3815,83.083,58.2882,79.4966,120387,"NO","NO",3,"2.89","24.325982",41.37,16.1,9.35,7.52,14.48,5.16,13.93,104882,75251,29631,54292,50590,23354,38952
"156","RODRIGUEZ DE MENDOZA","010600",26389,0.269854467415203,74.59,26.691965151688,5.77283035267349,249.47011747754,0.6312,97.3431,14.8787,79.4244,46.5018,67.5461,30236,"NO","NO",1,"2.39","23.47929",11.18,14.3,7.85,4.27,9.68,4.96,11.14,26389,8593,17796,13903,12486,6818,6027
"157","SAN ANTONIO DE PUTINA","211000",50490,0.275785193297116,66.91,62.1548779679943,6.39866433063048,199.988645697217,0.5691,98.8164,2.64,88.4295,29.5768,63.3287,62247,"NO","NO",2,"3.23","39.402547",15.74,40.8,11.69,7.21,20.93,6.2,18.17,50490,33665,16825,26862,23628,6238,8017
"158","SAN IGNACIO","060900",131239,0.231069742319551,72.16,33.2746805970671,5.09195019956153,174.310616416007,0.5762,95.7543,5.6695,76.5965,47.2578,59.029,145478,"NO","NO",3,"3.73","46.450348",26.3,21.5,14.62,6.54,16.33,9.53,20.64,131239,20604,110635,69686,61553,32624,26582
"159","SAN MARCOS","061000",51031,0.209225242560567,69.2,26.2486706371469,4.60333826497396,169.629709169292,0.5805,95.5956,4.4653,69.885,66.3363,50.9721,54622,"NO","NO",2,"3.06","45.997012",37.46,31.8,21.17,9.97,24.9,11.77,30.44,51031,11641,39390,25581,25450,9825,11728
"160","SAN MARTIN","220900",161132,0.380654236847107,72.28,61.6045758926291,8.94945366596333,344.801822597238,0.8285,98.3258,21.3298,99.5,85.3935,95.5041,179184,"NO","NO",3,"2.06","20.462078",28.57,21.1,3.45,2.86,10.12,2.1,4.85,161132,146109,15023,82159,78973,50811,49374
"161","SAN MIGUEL","061100",56146,0.229744072109592,72.92,31.6883604493631,4.93846742343702,176.422914441434,0.5787,96.5258,6.9082,85.777,48.1129,47.3965,57492,"NO","NO",2,"2.4","40.793651",22.09,19,15.97,8.18,17.55,6.19,25.23,56146,9072,47074,27819,28327,12455,13525
"162","SAN PABLO","061200",23114,0.204615181322981,68.39,23.9154387477361,4.76099769449803,165.760942904101,0.5587,96.9911,3.7146,75.1291,55.086,45.9765,23885,"NO","NO",1,"2.99","44.258271",34.38,34.8,19.72,8.17,21.99,8.68,29.84,23114,3594,19520,11261,11853,6412,5468
"163","SAN ROMAN","211100",240776,0.373834237372576,70.64,80.4128882193068,9.11363068002202,298.071976269662,0.7813,99.0267,15.507,94.0194,72.2405,99.5,276352,"NO","NO",3,"2.48","20.946029",105.71,26.5,5.8,4.53,20.07,1.88,9.45,240776,220610,20166,118151,122625,90004,63291
"164","SANCHEZ CARRION","130900",136221,0.180323063328217,69.9,24.0241955276378,3.72252128764666,142.092690437926,0.4838,96.212,8.273,48.1215,39.5255,44.2572,149616,"NO","NO",3,"3.98","65.379593",54.79,29.2,28.32,13.21,34.65,14.33,40.93,136221,36585,99636,66321,69900,16838,45056
"165","SANDIA","211200",62147,0.244706867147763,68.26,53.106111179181,6.06889720429377,160.381714286041,0.6152,98.5936,6.4219,84.2576,50.2309,63.8324,68253,"NO","NO",2,"3.29","36.921322",5.24,35.3,12.23,9.61,13.16,6.13,19.6,62147,16543,45604,33265,28882,9099,14908
"166","SANTA","021800",396434,0.44098900953949,75.09,68.9391395201777,9.59897971055713,446.521744570635,0.8245,98.0871,19.7013,96.4346,88.6281,96.2817,427157,"SI","NO",4,"2.09","9.8233702",98.75,12.9,4.32,3.77,12.86,2.1,6.51,396434,370476,25958,197865,198569,128845,126027
"167","SANTA CRUZ","061300",43856,0.257391935166033,72.31,44.2374621459346,5.44653819467051,193.164392635028,0.5349,96.0784,6.7198,87.9763,13.79,58.3943,45955,"NO","NO",1,"2.85","38.786323",30.93,21,16.87,6.67,19.76,8.84,24.79,43856,9192,34664,22012,21844,9497,10353
"168","SANTIAGO DE CHUCO","131000",58320,0.257136591381307,72.74,31.1316795383333,5.76072570569181,213.744595783564,0.5667,98.0769,11.9058,68.7819,45.5874,51.0685,61329,"NO","NO",2,"3.88","52.684659",21.93,19.6,14.31,9.02,17.2,5.59,23.55,58320,19966,38354,29797,28523,8677,16157
"169","SATIPO","120600",193872,0.245443411752893,70.85,38.1594005766948,6.60121031853963,167.785607937616,0.5807,96.1116,5.1873,72.4222,51.8365,61.3319,244727,"NO","NO",3,"3.35","31.657401",10.09,25.8,11.34,5.2,13.97,7.03,16.58,193872,53531,140341,103868,90004,23964,47272
"170","SECHURA","200800",62319,0.336294148272281,70.14,50.6605130620307,6.90907755071875,326.87888817645,0.6745,97.9712,5.9599,79.84,72.387,77.137,71075,"NO","NO",2,"3.17","29.070005",9.78,28.3,4.62,4.39,8.17,2.26,6.99,62319,58497,3822,31233,31086,12112,27838
"171","SIHUAS","021900",30700,0.232198960793941,70.92,34.7218814298237,4.92449550882463,180.881326850189,0.6091,96.7049,12.0564,69.5418,43.0137,75.1775,31006,"NO","NO",1,"3.72","49.083448",21.09,25.6,24.24,10.3,29.72,11.94,35.82,30700,7977,22723,15106,15594,7480,4953
"172","SUCRE","050900",12595,0.240582236641513,70.09,46.9258004169618,6.13847410911384,155.6280856307,0.6307,99.2637,12.7053,86.8535,38.4042,69.6481,12255,"NO","NO",1,"2.78","40.874325",7.05,28.5,18.57,14.57,24.69,7.21,29.09,12595,7694,4901,6216,6379,1986,2250
"173","SULLANA","200600",287680,0.371643468444757,74.62,63.4614074933632,8.27104264851297,319.507106581188,0.7548,97.9271,12.9206,91.7215,78.0363,88.1845,309605,"NO","NO",4,"2.45","12.790551",53.04,14.2,6.25,5.6,12.21,5.15,7.31,287680,258723,28957,142411,145269,55271,126417
"174","TACNA","230100",262731,0.45493313116536,74.44,84.5199901743035,10.6008562653527,424.165559877911,0.9104,99.4928,44.7413,90.0518,95.8766,95.2144,302852,"SI","SI",4,"2.14","4.106944",32.57,14.7,3.26,2.96,7.5,1.27,5.18,262731,245930,16801,130212,132519,128234,56926
"175","TAHUAMANU","170300",10742,0.417133845832127,76.67,57.4460010940749,9.46824877467665,408.011460278951,0.7263,99.5,27.4945,82.3381,56.4859,79.0064,12745,"NO","NO",1,"2.58","12.659",0.51,9.2,3.17,2.08,5.78,1.51,6.07,10742,7604,3138,6448,4294,1816,2739
"176","TALARA","200700",129396,0.417441879178433,73.36,65.5208019822911,9.80283179960784,401.102468790841,0.8082,99.0036,17.2074,97.9404,84.5123,93.9844,133148,"SI","NO",3,"2.3","10.666118",46.22,17.7,1.9,1.84,4.47,1.36,2.43,129396,126866,2530,65002,64394,40685,38701
"177","TAMBOPATA","170100",78523,0.431513867738363,71.31,64.8599034491074,9.97944009448297,454.828483684052,0.8027,99.2041,26.2887,86.1364,84.2227,87.9527,91988,"NO","SI",2,"2.65","11.664907",2.17,24.3,2.84,2.27,5.58,1.47,4.42,78523,65444,13079,41431,37092,22116,36514
"178","TARATA","230400",7805,0.282631552492073,72.65,73.3860247165454,7.66594093729938,162.272873400873,0.7414,99.3157,22.5366,90.173,68.7254,74.9025,7987,"NO","NO",1,"1.92","4.0400729",2.77,19.9,7.45,6.55,10.61,2.82,12.37,7805,6073,1732,4017,3788,3402,1868
"179","TARMA","120700",112230,0.330928974521874,72.25,57.4787039576344,7.65609146477304,268.000849697725,0.7105,98.8506,10.9357,84.8047,62.1884,91.1852,111631,"NO","NO",3,"2.28","32.539059",40.82,21.2,8.31,6.26,12.23,3.54,12.81,112230,72569,39661,55139,57091,20068,32234
"180","TAYACAJA","090700",104901,0.187786779806813,71.16,37.8297517801344,4.79507756751874,110.113985678522,0.5827,97.2705,4.6864,77.79,28.8652,79.6273,107715,"NO","NO",3,"3.11","55.101324",31.12,24.8,21.14,13.05,24,10.7,31.11,104901,25677,79224,52038,52863,21611,14372
"181","TOCACHE","221000",72346,0.328154522587634,71.8,45.6585127927059,7.14059320628411,304.492103980438,0.6456,94.9457,10.5095,92.4323,43.6077,74.3133,73460,"NO","NO",2,"2.74","22.519135",12.33,22.7,8,4.86,11.41,4.46,12.9,72346,36510,35836,40508,31838,15798,18970
"182","TRUJILLO","130100",811979,0.471726762151818,75.09,69.4186600762953,10.437981101852,511.967318888163,0.888,99.3464,32.9186,95.7003,98.0614,96.0229,914036,"SI","SI",4,"2.02","10.894048",459.1,12.9,3.46,3.32,9.67,1.62,5.12,811979,792355,19624,392486,419493,240401,320177
"183","TUMBES","240100",142338,0.422685617221101,75.42,59.9059729346409,9.32000504596726,428.294421788608,0.7622,99.1184,18.382,86.2661,77.6778,87.4196,159548,"NO","SI",3,"2.62","11.691337",79.04,12,3.27,2.91,7.37,2.78,3.79,142338,131105,11233,73057,69281,28785,57885
"184","UCAYALI","160600",61816,0.271670346098392,68.26,42.4335249465752,7.21019270195453,205.487136745159,0.5572,90.6369,4.5009,71.0551,33.5148,75.8978,70782,"NO","NO",2,"4.05","30.829523",2.11,35.3,3.8,2.31,5.82,2.14,5.76,61816,33885,27931,32556,29260,10908,11869
"185","URUBAMBA","081300",56685,0.328419127767018,73.61,53.6376293387187,7.5683009929739,265.894352603305,0.7234,96.0675,11.1369,89.0927,59.2273,98.7497,63039,"NO","NO",2,"3.89","28.214876",39.38,17,11.99,5.42,19.02,5.65,18.6,56685,27731,28954,28869,27816,22028,13081
"186","UTCUBAMBA","010700",109043,0.273661505789927,72.8,33.443591987983,5.7661549601966,242.483845716224,0.6097,95.1745,10.1102,77.1683,52.5195,63.1177,118747,"NO","NO",3,"2.74","32.489951",28.25,19.4,12.85,7.82,17.08,7.11,19.31,109043,47064,61979,56969,52074,20971,30342
"187","VICTOR FAJARDO","051000",25412,0.214680237752036,72.19,26.8961656068719,5.22334508209068,156.777778373026,0.6156,99.1369,8.7686,77.8064,46.8821,69.3787,24213,"NO","NO",1,"3.74","41.280958",11.24,21.4,22.55,20.14,29.67,6.96,36.57,25412,18904,6508,12316,13096,5070,3701
"188","VILCAS HUAMAN","051100",23600,0.191552165150552,70.67,22.8521881212483,4.5744530370244,142.718412932154,0.5349,99.1387,7.8826,72.025,45.8992,37.2551,23412,"NO","NO",1,"2.89","41.145954",20.03,26.4,26.16,17.68,30.42,11.9,39.25,23600,7480,16120,11504,12096,3794,4796
"189","VIRU","131200",76710,0.313474978867461,74.48,44.7508229178774,6.75546709053916,267.996012969974,0.6949,98.3704,5.9394,74.0766,84.9306,80.1798,101167,"SI","NO",3,"2.7","24.257273",23.83,14.6,8.23,7.02,12.24,4.07,12.79,76710,59090,17620,39716,36994,14620,28631
"190","YAROWILCA","101100",32380,0.195610527779226,69.84,29.322098103359,4.674682218523,136.328350817539,0.5294,98.2606,9.5985,76.9046,31.8684,41.6769,33715,"NO","NO",1,"3.11","43.819129",42.62,29.4,18.71,11.61,21.17,6.69,29.25,32380,7924,24456,15658,16722,8667,3137
"191","YAULI","120800",49838,0.422889577254814,73.47,70.8720724330773,9.90731535779957,397.780697341585,0.7727,99.5,12.4015,99.0315,75.5876,91.573,45858,"NO","NO",1,"2.42","42.441871",13.78,17.4,3.12,2.62,6.52,0.75,5.89,49838,43818,6020,26433,23405,15462,8871
"192","YAUYOS","151000",27501,0.292004736955736,70.17,58.6895162803315,8.50417824763837,189.874138798673,0.6657,98.4199,14.4953,83.6558,52.3377,74.2986,27842,"NO","NO",1,"4.28","40.040523",3.98,28.2,5.01,3.97,6.35,1.43,9.52,27501,15727,11774,14983,12518,5383,8211
"193","YUNGAY","022000",54963,0.233970206207296,67.72,31.7099535985564,4.60445000199179,212.190780638068,0.6249,97.275,10.2298,62.354,67.3776,68.3959,57969,"NO","NO",2,"2.63","37.691281",40.37,37.4,28.11,10.94,34.36,15.72,39.87,54963,13268,41695,27043,27920,10635,16739
"194","YUNGUYO","211300",47400,0.260051886651044,71.37,62.8076622514119,5.58976211739287,172.007072729088,0.6807,98.3785,6.8712,87.114,52.7099,90.6861,48179,"NO","NO",1,"2.89","19.578919",163.33,24.1,19.15,10.26,24.26,8.34,29.47,47400,17343,30057,23321,24079,10938,6304
"195","ZARUMILLA","240300",41054,0.381784087120589,74.33,54.8472254942163,8.43092649240185,364.678223332724,0.6849,97.4754,6.9758,81.2087,71.0227,81.1197,49499,"NO","NO",1,"3.19","11.789823",55.1,15,3.81,3.33,8.59,3.12,4.6,41054,37347,3707,21695,19359,4470,20567
